Hour,Temperature,Humidity,Wind_speed,Visibility,Dew_point_temperature,Solar_Radiation,Rainfall,Snowfall,Rented_Bike_Count
21,1.1,92,0.5,235,0.0,0.0,0.7,1.0,165
22,1.3,92,0.6,233,0.1,0.0,0.0,1.0,222
2,1.4,92,0.7,168,0.2,0.0,0.0,0.9,149
3,1.9,91,1.4,218,0.5,0.0,0.0,0.9,102
4,1.6,92,0.7,119,0.4,0.0,0.0,0.9,62
5,1.5,92,1.1,175,0.3,0.0,0.0,0.9,83
6,1.0,93,0.5,148,0.0,0.0,0.0,0.9,137
7,0.3,93,0.5,173,-0.7,0.0,0.0,0.9,367
8,-0.2,96,0.8,173,-0.7,0.01,0.0,0.8,754
10,1.1,83,0.7,311,-1.4,0.41,0.0,0.7,321
11,2.3,69,1.7,628,-2.8,0.63,0.0,0.6,333
12,3.7,65,2.4,833,-2.2,0.98,0.0,0.3,431
13,4.1,37,3.1,1767,-9.3,1.14,0.0,0.0,394
15,4.0,35,3.1,1962,-10.1,0.84,0.0,0.0,430
16,3.2,38,2.9,1817,-9.7,0.51,0.0,0.0,471
17,2.1,50,2.0,1434,-7.2,0.15,0.0,0.0,552
18,0.7,46,2.7,1558,-9.6,0.0,0.0,0.0,795
19,-0.4,47,2.5,1269,-10.3,0.0,0.0,0.0,507
20,-1.4,47,2.5,1620,-11.2,0.0,0.0,0.0,390
21,-2.2,46,2.2,1975,-12.2,0.0,0.0,0.0,402
22,-2.7,48,2.6,1844,-12.2,0.0,0.0,0.0,389
23,-3.2,50,2.1,1887,-12.1,0.0,0.0,0.0,259
1,-3.7,50,2.5,1902,-12.6,0.0,0.0,0.0,230
2,-4.3,53,1.0,1918,-12.4,0.0,0.0,0.0,131
3,-4.8,52,1.6,1978,-13.1,0.0,0.0,0.0,99
4,-5.3,53,2.4,1936,-13.4,0.0,0.0,0.0,71
5,-5.8,56,2.0,1941,-13.1,0.0,0.0,0.0,84
6,-6.0,56,3.5,1853,-13.3,0.0,0.0,0.0,158
7,-6.5,57,0.8,1776,-13.6,0.0,0.0,0.0,387
8,-7.0,59,0.8,1559,-13.6,0.01,0.0,0.0,780
9,-6.7,50,0.9,1492,-15.4,0.23,0.0,0.0,395
10,-5.3,44,2.8,1516,-15.6,0.63,0.0,0.0,261
13,-1.7,28,1.8,1963,-17.8,1.22,0.0,0.0,354
14,-1.3,27,3.1,1906,-17.9,1.12,0.0,0.0,350
15,-0.8,26,3.3,1977,-17.9,0.87,0.0,0.0,362
19,-3.3,35,1.1,2000,-16.6,0.0,0.0,0.0,477
21,-3.3,35,0.5,2000,-16.6,0.0,0.0,0.0,336
22,-3.4,39,1.2,2000,-15.4,0.0,0.0,0.0,347
23,-3.5,43,0.9,2000,-14.3,0.0,0.0,0.0,275
0,-3.5,48,0.9,1967,-12.9,0.0,0.0,0.0,267
3,-4.3,47,0.6,1992,-13.9,0.0,0.0,0.0,169
4,-4.3,49,0.7,2000,-13.4,0.0,0.0,0.0,96
5,-4.7,49,0.8,1999,-13.8,0.0,0.0,0.0,56
6,-5.1,53,0.9,1975,-13.2,0.0,0.0,0.0,76
7,-5.5,56,0.8,1950,-12.9,0.0,0.0,0.0,127
8,-5.4,56,0.7,1940,-12.8,0.01,0.0,0.0,222
9,-4.7,48,1.0,1784,-14.0,0.23,0.0,0.0,291
11,0.0,45,1.1,1500,-10.5,0.89,0.0,0.0,351
12,2.4,40,0.8,1809,-9.8,1.05,0.0,0.0,427
13,3.9,36,2.0,1702,-9.8,1.13,0.0,0.0,431
14,4.7,32,2.2,1948,-10.6,1.06,0.0,0.0,486
16,4.4,33,1.6,1963,-10.5,0.4,0.0,0.0,546
17,3.5,37,1.8,1963,-9.8,0.1,0.0,0.0,481
18,2.5,41,1.0,1974,-9.4,0.0,0.0,0.0,384
19,1.5,48,0.4,1878,-8.3,0.0,0.0,0.0,275
20,0.8,51,1.4,1848,-8.2,0.0,0.0,0.0,298
22,-0.5,55,0.6,1655,-8.4,0.0,0.0,0.0,289
23,-0.1,54,1.3,1570,-8.3,0.0,0.0,0.0,265
0,-0.2,55,1.0,1629,-8.1,0.0,0.0,0.0,326
1,-0.2,54,0.5,1747,-8.4,0.0,0.0,0.0,280
2,0.2,52,0.7,1726,-8.5,0.0,0.0,0.0,243
3,0.3,53,0.5,1748,-8.1,0.0,0.0,0.0,169
7,-0.4,92,1.1,121,-1.5,0.0,0.0,4.0,20
8,-0.2,90,1.2,378,-1.6,0.0,0.0,4.1,35
9,0.2,90,1.0,305,-1.2,0.0,1.6,4.3,31
10,0.5,91,0.4,143,-0.8,0.0,0.0,4.3,19
11,0.9,92,0.9,137,-0.2,0.03,0.0,3.9,58
12,2.3,88,0.3,245,0.5,0.28,0.0,3.1,119
13,3.3,87,1.1,230,1.3,0.54,0.0,2.1,182
16,5.4,71,3.5,622,0.5,0.2,0.0,0.5,214
17,3.6,65,4.3,1061,-2.3,0.03,0.0,0.4,226
18,2.0,61,3.0,2000,-4.7,0.0,0.0,0.0,210
19,1.6,53,4.0,2000,-6.9,0.0,0.0,0.0,181
20,0.6,57,3.9,1954,-6.9,0.0,0.0,0.0,165
21,0.0,59,3.0,1862,-7.0,0.0,0.0,0.0,167
1,-3.4,36,3.8,2000,-16.3,0.0,0.0,0.0,111
2,-4.2,35,3.4,2000,-17.4,0.0,0.0,0.0,67
3,-4.7,38,2.4,2000,-16.8,0.0,0.0,0.0,45
4,-5.2,35,3.2,2000,-18.3,0.0,0.0,0.0,44
5,-5.6,38,3.2,1974,-17.6,0.0,0.0,0.0,86
7,-6.0,39,3.1,1996,-17.7,0.0,0.0,0.0,325
8,-6.0,38,3.6,1994,-18.0,0.01,0.0,0.0,653
9,-5.9,36,5.1,1941,-18.6,0.1,0.0,0.0,326
10,-5.3,32,4.5,2000,-19.4,0.62,0.0,0.0,212
11,-4.7,36,3.8,2000,-17.5,1.0,0.0,0.0,226
12,-5.2,33,4.6,1973,-19.0,1.26,0.0,0.0,247
13,-5.4,32,5.1,1986,-19.5,1.24,0.0,0.0,241
14,-5.4,31,4.1,1945,-19.9,1.13,0.0,0.0,253
15,-5.5,33,4.5,2000,-19.2,0.92,0.0,0.0,269
16,-6.0,40,4.0,2000,-17.4,0.55,0.0,0.0,277
17,-7.1,44,4.2,2000,-17.3,0.18,0.0,0.0,361
18,-7.9,43,3.3,2000,-18.3,0.0,0.0,0.0,557
20,-9.3,49,3.8,2000,-18.0,0.0,0.0,0.0,254
21,-9.7,51,2.5,2000,-17.9,0.0,0.0,0.0,266
22,-10.2,50,3.0,2000,-18.6,0.0,0.0,0.0,222
23,-10.7,53,1.2,2000,-18.4,0.0,0.0,0.0,174
0,-11.0,51,1.1,2000,-19.1,0.0,0.0,0.0,133
2,-11.5,50,0.7,2000,-19.8,0.0,0.0,0.0,95
3,-11.6,50,2.2,1995,-19.9,0.0,0.0,0.0,54
4,-11.6,47,2.1,1982,-20.6,0.0,0.0,0.0,46
5,-11.6,45,2.8,1951,-21.1,0.0,0.0,0.0,65
6,-11.8,47,2.5,1973,-20.8,0.0,0.0,0.0,104
7,-12.1,50,2.3,1929,-20.4,0.0,0.0,0.0,280
8,-12.3,52,1.3,1914,-20.1,0.0,0.0,0.0,580
10,-10.5,45,3.3,1855,-20.1,0.6,0.0,0.0,184
12,-8.3,35,2.9,1967,-21.0,1.14,0.0,0.0,228
13,-6.9,37,2.4,1955,-19.1,1.22,0.0,0.0,225
14,-5.4,32,2.0,1930,-19.5,1.12,0.0,0.0,258
15,-5.8,30,2.8,2000,-20.6,0.92,0.0,0.0,250
16,-6.0,29,2.8,1983,-21.2,0.58,0.0,0.0,248
17,-7.0,32,2.6,2000,-20.9,0.19,0.0,0.0,305
18,-7.7,36,1.0,2000,-20.2,0.0,0.0,0.0,529
19,-8.2,43,1.1,2000,-18.5,0.0,0.0,0.0,350
20,-8.4,42,1.0,2000,-19.0,0.0,0.0,0.0,260
21,-8.8,43,1.4,1999,-19.1,0.0,0.0,0.0,270
22,-9.0,45,1.3,1999,-18.7,0.0,0.0,0.0,256
23,-9.3,47,2.1,2000,-18.5,0.0,0.0,0.0,173
1,-10.2,52,1.6,1997,-18.2,0.0,0.0,0.0,183
2,-10.4,53,1.8,1949,-18.1,0.0,0.0,0.0,120
4,-11.4,58,1.3,1907,-18.0,0.0,0.0,0.0,41
5,-11.5,58,1.1,1923,-18.1,0.0,0.0,0.0,68
6,-11.9,57,1.1,1974,-18.7,0.0,0.0,0.0,109
7,-11.7,53,1.6,1998,-19.3,0.0,0.0,0.0,310
8,-11.4,47,3.3,2000,-20.4,0.0,0.0,0.0,591
10,-9.5,39,2.1,1875,-20.9,0.6,0.0,0.0,202
11,-8.1,35,1.8,1806,-20.9,0.96,0.0,0.0,251
12,-6.5,30,2.9,1945,-21.2,1.17,0.0,0.0,267
13,-5.8,28,2.9,1887,-21.4,1.23,0.0,0.0,251
14,-4.7,27,2.9,1883,-20.8,1.12,0.0,0.0,240
15,-4.9,26,3.1,1887,-21.5,0.89,0.0,0.0,240
17,-5.6,29,1.7,2000,-20.8,0.18,0.0,0.0,392
18,-6.6,33,1.1,2000,-20.2,0.0,0.0,0.0,537
20,-7.6,35,0.8,2000,-20.4,0.0,0.0,0.0,263
21,-8.3,39,1.0,2000,-19.8,0.0,0.0,0.0,271
22,-8.9,39,0.1,2000,-20.3,0.0,0.0,0.0,271
23,-9.2,44,0.4,1978,-19.2,0.0,0.0,0.0,174
0,-9.5,50,0.6,1953,-18.0,0.0,0.0,0.0,171
1,-9.8,48,0.8,2000,-18.7,0.0,0.0,0.0,170
2,-10.6,44,0.8,1903,-20.5,0.0,0.0,0.0,107
4,-11.0,50,0.8,1718,-19.4,0.0,0.0,0.0,52
6,-11.0,55,0.8,1541,-18.2,0.0,0.0,0.0,108
7,-10.9,57,1.1,1387,-17.7,0.0,0.0,0.0,279
8,-10.4,54,1.1,1432,-17.9,0.01,0.0,0.0,621
9,-9.4,44,0.5,1680,-19.4,0.13,0.0,0.0,305
10,-7.7,43,0.9,1555,-18.1,0.35,0.0,0.0,189
11,-6.1,38,1.0,1587,-18.1,0.52,0.0,0.0,247
12,-4.9,34,1.3,1768,-18.3,0.6,0.0,0.0,278
13,-3.8,32,0.9,1827,-18.1,0.52,0.0,0.0,282
14,-2.7,28,0.7,1857,-18.7,0.65,0.0,0.0,294
16,-2.4,28,0.9,1878,-18.4,0.35,0.0,0.0,335
17,-2.9,31,0.6,1723,-17.7,0.09,0.0,0.0,382
18,-3.5,35,1.1,1414,-16.7,0.0,0.0,0.0,612
19,-4.2,40,0.9,1216,-15.8,0.0,0.0,0.0,410
20,-4.8,43,1.1,1397,-15.4,0.0,0.0,0.0,277
21,-4.8,45,0.8,1351,-14.9,0.0,0.0,0.0,316
22,-4.9,44,1.1,1369,-15.3,0.0,0.0,0.0,309
23,-5.6,53,1.2,1290,-13.6,0.0,0.0,0.0,211
1,-6.3,57,0.4,1148,-13.4,0.0,0.0,0.0,241
3,-6.9,56,0.5,1111,-14.2,0.0,0.0,0.0,110
4,-7.1,59,0.8,1058,-13.7,0.0,0.0,0.0,69
5,-7.5,64,0.9,989,-13.1,0.0,0.0,0.0,68
6,-7.4,64,0.7,906,-13.0,0.0,0.0,0.0,129
7,-7.0,63,0.6,865,-12.8,0.0,0.0,0.0,285
8,-6.6,64,1.1,791,-12.2,0.0,0.0,0.0,658
9,-5.9,60,0.6,691,-12.4,0.09,0.0,0.0,330
10,-4.6,52,0.8,648,-12.9,0.34,0.0,0.0,221
11,-2.9,46,1.0,809,-12.9,0.42,0.0,0.0,279
12,-2.5,43,0.7,895,-13.3,0.34,0.0,0.0,309
13,-1.6,40,0.3,868,-13.4,0.32,0.0,0.0,325
14,-0.7,39,0.8,826,-12.9,0.35,0.0,0.0,329
15,0.1,35,1.5,946,-13.5,0.42,0.0,0.0,342
16,0.0,37,0.6,994,-12.9,0.13,0.0,0.0,354
17,-0.2,39,0.8,1016,-12.5,0.0,0.0,0.0,464
18,0.1,43,0.9,1485,-11.0,0.0,0.0,0.0,682
19,0.6,41,1.2,1550,-11.1,0.0,0.0,0.0,451
20,0.9,42,1.2,1113,-10.5,0.0,0.0,0.0,320
22,-0.1,49,2.0,870,-9.5,0.0,0.0,0.0,296
0,-2.6,73,3.4,787,-6.7,0.0,0.0,0.0,217
1,-3.4,76,2.9,582,-7.0,0.0,0.0,0.0,302
2,-4.1,73,2.1,567,-8.2,0.0,0.0,0.0,228
4,-5.0,70,2.7,702,-9.6,0.0,0.0,0.0,80
5,-5.6,72,2.0,662,-9.8,0.0,0.0,0.0,45
6,-6.1,69,2.9,765,-10.8,0.0,0.0,0.0,66
10,-6.2,42,2.3,1893,-17.0,0.52,0.0,0.0,201
11,-5.2,30,4.0,1991,-20.1,0.86,0.0,0.0,239
12,-4.1,28,3.8,1998,-19.9,1.08,0.0,0.0,252
13,-3.7,23,4.0,1980,-21.8,1.12,0.0,0.0,296
14,-3.4,22,4.3,1966,-22.1,1.07,0.0,0.0,292
16,-3.3,24,3.5,2000,-21.0,0.54,0.0,0.0,258
18,-5.3,28,3.5,2000,-21.0,0.0,0.0,0.0,212
21,-7.1,39,3.2,2000,-18.7,0.0,0.0,0.0,159
22,-7.6,41,1.6,2000,-18.6,0.0,0.0,0.0,155
23,-8.0,41,2.2,2000,-18.9,0.0,0.0,0.0,142
0,-8.1,41,2.0,2000,-19.0,0.0,0.0,0.0,175
2,-8.7,40,2.8,2000,-19.8,0.0,0.0,0.0,132
3,-9.0,40,3.1,2000,-20.1,0.0,0.0,0.0,100
4,-9.5,40,1.9,2000,-20.6,0.0,0.0,0.0,41
5,-9.7,41,3.1,2000,-20.5,0.0,0.0,0.0,31
6,-9.9,42,2.3,2000,-20.4,0.0,0.0,0.0,39
9,-10.5,38,1.1,1950,-22.1,0.19,0.0,0.0,122
10,-8.5,31,1.5,1997,-22.6,0.58,0.0,0.0,142
11,-7.2,29,1.8,1926,-22.2,0.88,0.0,0.0,189
13,-4.5,25,3.2,1989,-21.6,1.14,0.0,0.0,223
14,-3.2,26,3.1,1933,-20.0,1.07,0.0,0.0,268
15,-2.5,28,2.0,2000,-18.5,0.85,0.0,0.0,278
16,-2.7,31,2.3,2000,-17.5,0.54,0.0,0.0,256
17,-3.8,35,2.4,2000,-17.0,0.17,0.0,0.0,266
18,-4.7,37,1.8,2000,-17.2,0.01,0.0,0.0,204
20,-6.0,42,0.8,2000,-16.8,0.0,0.0,0.0,166
21,-6.5,45,0.7,2000,-16.4,0.0,0.0,0.0,168
22,-6.6,50,0.6,1990,-15.3,0.0,0.0,0.0,172
23,-6.9,53,0.7,2000,-14.8,0.0,0.0,0.0,138
0,-5.9,50,0.6,2000,-14.6,0.0,0.0,0.0,151
1,-5.3,48,0.4,1664,-14.6,0.0,0.0,0.0,97
2,-5.0,65,0.4,990,-10.5,0.0,0.0,0.2,38
3,-5.3,76,1.0,767,-8.8,0.0,0.3,0.5,32
4,-5.4,81,0.7,270,-8.1,0.0,0.0,0.7,29
5,-5.3,81,0.9,923,-8.0,0.0,0.0,0.8,27
6,-5.2,85,0.9,271,-7.3,0.0,0.4,1.3,45
7,-5.0,85,0.7,186,-7.1,0.0,0.0,1.8,96
8,-4.6,86,1.2,508,-6.5,0.0,0.0,2.0,146
9,-4.3,89,1.0,59,-5.8,0.0,1.6,4.0,52
11,-2.9,85,1.2,243,-5.0,0.06,0.0,4.8,44
12,-1.8,83,1.2,351,-4.3,0.09,1.1,5.1,62
13,-0.9,84,1.2,333,-3.2,0.09,0.0,5.0,76
14,0.5,76,0.9,364,-3.2,0.17,0.0,4.2,116
17,0.4,84,0.8,317,-1.9,0.15,0.0,2.7,175
19,1.3,65,1.1,1122,-4.5,0.0,0.0,2.7,198
20,3.3,65,3.2,1172,-2.6,0.0,0.0,2.7,165
21,2.8,73,2.4,831,-1.5,0.0,0.0,2.6,148
22,1.5,82,2.4,537,-1.2,0.0,0.0,2.6,160
23,0.1,81,2.9,551,-2.7,0.0,0.0,2.6,128
0,-1.0,73,2.3,881,-5.2,0.0,0.0,2.6,122
1,-2.0,72,0.8,979,-6.3,0.0,0.0,2.6,122
2,-2.7,72,0.9,990,-7.0,0.0,0.0,2.6,93
3,-2.8,58,1.6,1315,-9.9,0.0,0.0,2.6,55
4,-2.9,59,1.8,1286,-9.8,0.0,0.0,2.6,39
5,-3.9,66,0.7,1209,-9.3,0.0,0.0,2.6,55
6,-4.3,70,1.6,1169,-8.9,0.0,0.0,2.6,78
7,-4.4,64,2.8,1367,-10.1,0.0,0.0,2.6,165
8,-5.2,58,2.2,1594,-12.1,0.0,0.0,2.5,390
9,-5.3,48,2.6,1810,-14.6,0.18,0.0,2.5,199
10,-4.6,41,2.8,1815,-15.8,0.57,0.0,2.5,151
11,-3.5,35,2.2,1742,-16.7,0.87,0.0,2.5,174
12,-2.5,31,2.6,1778,-17.3,1.08,0.0,2.3,191
13,-2.2,25,3.2,1970,-19.6,1.17,0.0,2.2,189
14,-2.2,23,3.7,1971,-20.5,1.09,0.0,2.2,178
15,-1.3,26,3.0,2000,-18.3,0.91,0.0,2.1,195
16,-1.8,31,3.1,1993,-16.7,0.56,0.0,2.0,211
17,-2.7,35,1.8,2000,-16.0,0.18,0.0,2.0,256
18,-3.8,42,3.3,2000,-14.8,0.0,0.0,2.0,384
19,-4.5,51,2.0,2000,-13.1,0.0,0.0,2.0,276
20,-4.9,55,2.0,2000,-12.5,0.0,0.0,2.0,225
21,-5.0,57,1.9,2000,-12.2,0.0,0.0,2.0,224
22,-5.5,56,1.5,2000,-12.9,0.0,0.0,2.0,213
23,-5.8,57,1.7,2000,-12.9,0.0,0.0,2.0,149
0,-6.5,63,1.5,1666,-12.3,0.0,0.0,2.0,142
1,-7.3,67,1.1,1593,-12.3,0.0,0.0,2.0,172
2,-7.8,68,0.9,1642,-12.6,0.0,0.0,2.0,108
3,-8.1,70,1.3,1557,-12.6,0.0,0.0,2.0,71
5,-8.3,67,0.9,1566,-13.3,0.0,0.0,2.0,56
6,-8.2,66,0.9,1718,-13.4,0.0,0.0,2.0,97
7,-8.1,67,0.9,1737,-13.1,0.0,0.0,2.0,213
8,-7.8,65,1.1,1738,-13.2,0.0,0.0,2.0,466
9,-6.7,62,1.1,1749,-12.7,0.09,0.0,2.0,239
10,-5.4,56,1.1,1751,-12.8,0.28,0.0,2.0,162
11,-4.2,51,1.1,1772,-12.8,0.4,0.0,1.9,204
12,-3.2,49,1.3,1723,-12.4,0.53,0.0,1.9,209
13,-1.3,43,1.0,1777,-12.3,0.8,0.0,1.7,228
14,-0.5,44,1.0,1793,-11.2,0.71,0.0,1.7,243
15,-0.2,45,1.0,1852,-10.7,0.41,0.0,1.6,240
17,-0.9,70,1.1,299,-5.6,0.02,0.0,2.2,237
18,-1.4,79,1.6,702,-4.5,0.0,0.1,2.2,329
19,-1.5,81,1.8,751,-4.3,0.0,0.0,2.2,190
20,-1.9,86,0.9,700,-3.9,0.0,0.0,2.4,165
21,-2.0,83,1.2,904,-4.5,0.0,0.1,2.4,197
22,-1.6,82,0.4,929,-4.2,0.0,0.0,2.3,184
23,-1.1,87,1.4,349,-2.9,0.0,0.0,2.2,153
0,-1.3,90,2.0,259,-2.7,0.0,0.0,2.2,166
1,-1.8,90,1.6,263,-3.2,0.0,0.0,2.2,189
3,-2.9,89,1.3,288,-4.4,0.0,0.0,2.2,79
4,-3.6,91,1.2,241,-4.8,0.0,0.0,2.2,58
5,-4.3,91,1.5,233,-5.5,0.0,0.0,2.2,49
6,-4.8,91,1.1,266,-6.0,0.0,0.0,2.2,84
7,-5.3,90,1.1,311,-6.6,0.0,0.0,2.2,178
8,-5.6,89,0.9,371,-7.1,0.0,0.0,2.2,423
10,-3.0,71,0.7,608,-7.5,0.67,0.0,2.1,169
11,-0.7,62,0.7,519,-7.0,0.77,0.0,2.0,243
12,1.9,40,2.0,1835,-10.3,1.04,0.0,1.9,290
13,3.2,42,1.8,1349,-8.5,1.08,0.0,1.8,285
14,4.3,47,2.3,953,-6.0,0.96,0.0,1.6,255
