Iy,PF,e,dIf,If
36.0,0.76,0.24,0.361,1.541
37.0,0.78,0.22,0.367,1.547
36.0,0.78,0.22,0.377,1.557
38.0,0.8,0.2,0.383,1.563
37.0,0.8,0.2,0.395,1.575
37.0,0.72,0.28,0.419,1.599
36.0,0.72,0.28,0.427,1.607
38.0,0.74,0.26,0.427,1.607
37.0,0.74,0.26,0.436,1.616
39.0,0.66,0.34,0.444,1.624
36.0,0.74,0.26,0.445,1.625
38.0,0.66,0.34,0.449,1.629
37.0,0.66,0.34,0.453,1.633
38.0,0.68,0.32,0.466,1.646
37.0,0.68,0.32,0.47,1.65
39.0,0.7,0.3,0.486,1.666
38.0,0.7,0.3,0.492,1.672
37.0,0.7,0.3,0.499,1.679
36.0,0.7,0.3,0.505,1.685
39.0,0.72,0.28,0.402,1.582
39.0,0.74,0.26,0.418,1.598
39.0,0.76,0.24,0.337,1.517
39.0,0.8,0.2,0.372,1.552
39.0,0.82,0.18,0.274,1.454
39.0,0.84,0.16,0.288,1.468
40.0,0.92,0.08,0.064,1.244
40.0,0.94,0.06,0.072,1.252
40.0,0.96,0.04,0.076,1.256
40.0,0.98,0.02,0.076,1.256
40.0,1.0,0.0,0.076,1.256
39.0,0.96,0.04,0.097,1.277
39.0,0.98,0.02,0.097,1.277
39.0,1.0,0.0,0.097,1.277
39.0,0.94,0.06,0.1,1.28
41.0,0.92,0.08,0.162,1.342
40.0,0.86,0.14,0.165,1.345
41.0,0.94,0.06,0.168,1.348
40.0,0.88,0.12,0.174,1.354
40.0,0.9,0.1,0.183,1.363
41.0,0.98,0.02,0.184,1.364
41.0,1.0,0.0,0.184,1.364
39.0,0.86,0.14,0.19,1.37
39.0,0.88,0.12,0.197,1.377
39.0,0.9,0.1,0.202,1.382
40.0,0.82,0.18,0.25,1.43
41.0,0.86,0.14,0.263,1.443
41.0,0.88,0.12,0.278,1.458
41.0,0.9,0.1,0.308,1.488
40.0,0.76,0.24,0.317,1.497
40.0,0.78,0.22,0.338,1.518
40.0,0.8,0.2,0.36,1.54
41.0,0.82,0.18,0.361,1.541
40.0,0.72,0.28,0.383,1.563
40.0,0.74,0.26,0.406,1.586
41.0,0.76,0.24,0.418,1.598
40.0,0.66,0.34,0.43,1.61
41.0,0.8,0.2,0.467,1.647
40.0,0.7,0.3,0.479,1.659
41.0,0.74,0.26,0.508,1.688
42.0,0.66,0.34,0.517,1.697
41.0,0.66,0.34,0.522,1.702
42.0,0.68,0.32,0.534,1.714
41.0,0.68,0.32,0.541,1.721
41.0,0.7,0.3,0.572,1.752
43.0,0.94,0.06,0.137,1.317
43.0,0.96,0.04,0.14,1.32
43.0,0.98,0.02,0.14,1.32
43.0,1.0,0.0,0.14,1.32
42.0,0.92,0.08,0.145,1.325
42.0,0.96,0.04,0.162,1.342
42.0,0.98,0.02,0.162,1.342
42.0,1.0,0.0,0.162,1.342
43.0,0.86,0.14,0.235,1.415
42.0,0.86,0.14,0.249,1.429
43.0,0.9,0.1,0.257,1.437
42.0,0.88,0.12,0.26,1.44
42.0,0.9,0.1,0.282,1.462
43.0,0.82,0.18,0.34,1.52
42.0,0.82,0.18,0.349,1.529
43.0,0.84,0.16,0.354,1.534
42.0,0.84,0.16,0.366,1.546
43.0,0.78,0.22,0.419,1.599
42.0,0.78,0.22,0.425,1.605
43.0,0.8,0.2,0.442,1.622
42.0,0.8,0.2,0.455,1.635
43.0,0.72,0.28,0.473,1.653
42.0,0.72,0.28,0.48,1.66
42.0,0.74,0.26,0.499,1.679
43.0,0.66,0.34,0.512,1.692
43.0,0.68,0.32,0.531,1.711
42.0,0.7,0.3,0.565,1.745
44.0,0.66,0.34,0.507,1.687
44.0,0.68,0.32,0.526,1.706
44.0,0.74,0.26,0.48,1.66
44.0,0.76,0.24,0.394,1.574
44.0,0.78,0.22,0.41,1.59
44.0,0.8,0.2,0.43,1.61
44.0,0.82,0.18,0.326,1.506
44.0,0.84,0.16,0.341,1.521
44.0,0.86,0.14,0.222,1.402
44.0,0.9,0.1,0.231,1.411
44.0,0.92,0.08,0.116,1.296
44.0,0.94,0.06,0.121,1.301
44.0,0.96,0.04,0.118,1.298
44.0,0.98,0.02,0.118,1.298
44.0,1.0,0.0,0.118,1.298
45.0,0.66,0.34,0.492,1.672
45.0,0.7,0.3,0.545,1.725
45.0,0.74,0.26,0.467,1.647
45.0,0.76,0.24,0.372,1.552
45.0,0.78,0.22,0.395,1.575
45.0,0.8,0.2,0.418,1.598
45.0,0.82,0.18,0.301,1.481
45.0,0.84,0.16,0.322,1.502
45.0,0.86,0.14,0.188,1.368
45.0,0.88,0.12,0.197,1.377
45.0,0.9,0.1,0.206,1.386
45.0,0.92,0.08,0.084,1.264
45.0,0.94,0.06,0.092,1.272
45.0,0.96,0.04,0.096,1.276
45.0,0.98,0.02,0.096,1.276
46.0,0.68,0.32,0.61,1.79
46.0,0.7,0.3,0.644,1.824
46.0,0.72,0.28,0.556,1.736
46.0,0.74,0.26,0.576,1.756
46.0,0.76,0.24,0.475,1.655
46.0,0.78,0.22,0.494,1.674
46.0,0.84,0.16,0.415,1.595
46.0,0.87,0.13,0.308,1.488
46.0,0.91,0.09,0.181,1.361
46.0,0.93,0.07,0.188,1.368
46.0,0.97,0.03,0.207,1.387
46.0,0.99,0.01,0.207,1.387
47.0,0.65,0.35,0.608,1.788
47.0,0.67,0.33,0.595,1.775
47.0,0.69,0.31,0.615,1.795
47.0,0.73,0.27,0.554,1.734
47.0,0.75,0.25,0.587,1.767
47.0,0.79,0.21,0.49,1.67
47.0,0.81,0.19,0.39,1.57
47.0,0.83,0.17,0.396,1.576
47.0,0.85,0.15,0.413,1.593
47.0,0.89,0.11,0.297,1.477
47.0,0.91,0.09,0.165,1.345
47.0,0.95,0.05,0.185,1.365
47.0,0.97,0.03,0.185,1.365
47.0,0.99,0.01,0.185,1.365
48.0,0.73,0.27,0.546,1.726
48.0,0.75,0.25,0.573,1.753
48.0,0.77,0.23,0.466,1.646
48.0,0.79,0.21,0.476,1.656
48.0,0.81,0.19,0.378,1.558
48.0,0.83,0.17,0.386,1.566
48.0,0.85,0.15,0.395,1.575
48.0,0.87,0.13,0.274,1.454
48.0,0.89,0.11,0.278,1.458
48.0,0.91,0.09,0.15,1.33
48.0,0.93,0.07,0.157,1.337
48.0,0.95,0.05,0.162,1.342
48.0,0.97,0.03,0.162,1.342
48.0,0.99,0.01,0.162,1.342
49.0,0.65,0.35,0.637,1.817
49.0,0.67,0.33,0.585,1.765
49.0,0.71,0.29,0.517,1.697
49.0,0.73,0.27,0.536,1.716
49.0,0.75,0.25,0.559,1.739
49.0,0.77,0.23,0.453,1.633
49.0,0.79,0.21,0.462,1.642
49.0,0.81,0.19,0.365,1.545
49.0,0.83,0.17,0.373,1.553
49.0,0.87,0.13,0.253,1.433
49.0,0.89,0.11,0.26,1.44
49.0,0.91,0.09,0.134,1.314
49.0,0.93,0.07,0.14,1.32
49.0,0.97,0.03,0.14,1.32
49.0,0.99,0.01,0.14,1.32
50.0,0.69,0.31,0.601,1.781
50.0,0.71,0.29,0.492,1.672
50.0,0.73,0.27,0.519,1.699
50.0,0.75,0.25,0.545,1.725
50.0,0.77,0.23,0.43,1.61
50.0,0.81,0.19,0.338,1.518
50.0,0.83,0.17,0.349,1.529
50.0,0.85,0.15,0.36,1.54
50.0,0.87,0.13,0.216,1.396
50.0,0.89,0.11,0.225,1.405
50.0,0.91,0.09,0.1,1.28
50.0,0.93,0.07,0.109,1.289
50.0,0.95,0.05,0.117,1.297
50.0,0.97,0.03,0.117,1.297
50.0,0.99,0.01,0.117,1.297
51.0,0.65,0.35,0.666,1.846
51.0,0.67,0.33,0.668,1.848
51.0,0.69,0.31,0.69,1.87
51.0,0.71,0.29,0.605,1.785
51.0,0.73,0.27,0.615,1.795
51.0,0.75,0.25,0.637,1.817
51.0,0.77,0.23,0.536,1.716
51.0,0.79,0.21,0.546,1.726
51.0,0.83,0.17,0.454,1.634
51.0,0.85,0.15,0.487,1.667
51.0,0.87,0.13,0.338,1.518
51.0,0.89,0.11,0.347,1.527
51.0,0.91,0.09,0.208,1.388
51.0,0.93,0.07,0.222,1.402
51.0,0.97,0.03,0.252,1.432
51.0,0.99,0.01,0.252,1.432
52.0,0.65,0.35,0.682,1.862
52.0,0.67,0.33,0.66,1.84
52.0,0.69,0.31,0.679,1.859
52.0,0.71,0.29,0.595,1.775
52.0,0.73,0.27,0.603,1.783
52.0,0.75,0.25,0.622,1.802
52.0,0.81,0.19,0.424,1.604
52.0,0.85,0.15,0.463,1.643
52.0,0.89,0.11,0.331,1.511
52.0,0.91,0.09,0.192,1.372
52.0,0.93,0.07,0.201,1.381
52.0,0.95,0.05,0.223,1.403
52.0,0.97,0.03,0.223,1.403
52.0,0.99,0.01,0.223,1.403
53.0,0.65,0.35,0.697,1.877
53.0,0.67,0.33,0.656,1.836
53.0,0.69,0.31,0.668,1.848
53.0,0.71,0.29,0.585,1.765
53.0,0.73,0.27,0.595,1.775
53.0,0.75,0.25,0.608,1.788
53.0,0.77,0.23,0.513,1.693
53.0,0.79,0.21,0.527,1.707
53.0,0.83,0.17,0.423,1.603
53.0,0.85,0.15,0.438,1.618
53.0,0.89,0.11,0.315,1.495
53.0,0.91,0.09,0.176,1.356
53.0,0.93,0.07,0.185,1.365
53.0,0.95,0.05,0.195,1.375
53.0,0.97,0.03,0.195,1.375
53.0,0.99,0.01,0.195,1.375
54.0,0.65,0.35,0.713,1.893
54.0,0.67,0.33,0.647,1.827
54.0,0.73,0.27,0.585,1.765
54.0,0.75,0.25,0.593,1.773
54.0,0.77,0.23,0.499,1.679
54.0,0.79,0.21,0.517,1.697
54.0,0.81,0.19,0.398,1.578
54.0,0.83,0.17,0.407,1.587
54.0,0.85,0.15,0.414,1.594
54.0,0.87,0.13,0.286,1.466
54.0,0.89,0.11,0.3,1.48
54.0,0.91,0.09,0.159,1.339
54.0,0.93,0.07,0.165,1.345
54.0,0.97,0.03,0.166,1.346
54.0,0.99,0.01,0.166,1.346
55.0,0.65,0.35,0.728,1.908
55.0,0.69,0.31,0.644,1.824
55.0,0.71,0.29,0.552,1.732
55.0,0.73,0.27,0.565,1.745
55.0,0.77,0.23,0.474,1.654
55.0,0.81,0.19,0.366,1.546
55.0,0.85,0.15,0.389,1.569
55.0,0.87,0.13,0.25,1.43
55.0,0.89,0.11,0.27,1.45
55.0,0.91,0.09,0.121,1.301
55.0,0.93,0.07,0.13,1.31
55.0,0.95,0.05,0.138,1.318
55.0,0.97,0.03,0.138,1.318
56.0,0.65,0.35,0.736,1.916
56.0,0.69,0.31,0.74,1.92
56.0,0.71,0.29,0.652,1.832
56.0,0.73,0.27,0.674,1.854
56.0,0.75,0.25,0.713,1.893
56.0,0.77,0.23,0.585,1.765
56.0,0.81,0.19,0.49,1.67
56.0,0.83,0.17,0.499,1.679
56.0,0.87,0.13,0.378,1.558
56.0,0.89,0.11,0.395,1.575
56.0,0.91,0.09,0.246,1.426
56.0,0.93,0.07,0.254,1.434
56.0,0.95,0.05,0.277,1.457
56.0,0.97,0.03,0.277,1.457
56.0,0.99,0.01,0.277,1.457
57.0,0.67,0.33,0.72,1.9
57.0,0.69,0.31,0.735,1.915
57.0,0.71,0.29,0.641,1.821
57.0,0.73,0.27,0.661,1.841
57.0,0.75,0.25,0.697,1.877
57.0,0.77,0.23,0.573,1.753
57.0,0.79,0.21,0.591,1.771
57.0,0.83,0.17,0.481,1.661
57.0,0.87,0.13,0.359,1.539
57.0,0.89,0.11,0.375,1.555
57.0,0.93,0.07,0.23,1.41
57.0,0.95,0.05,0.248,1.428
57.0,0.97,0.03,0.248,1.428
57.0,0.99,0.01,0.248,1.428
58.0,0.65,0.35,0.753,1.933
58.0,0.67,0.33,0.711,1.891
58.0,0.69,0.31,0.729,1.909
58.0,0.75,0.25,0.682,1.862
58.0,0.79,0.21,0.575,1.755
58.0,0.81,0.19,0.455,1.635
58.0,0.83,0.17,0.471,1.651
58.0,0.87,0.13,0.347,1.527
58.0,0.89,0.11,0.355,1.535
58.0,0.91,0.09,0.206,1.386
58.0,0.97,0.03,0.218,1.398
59.0,0.67,0.33,0.701,1.881
59.0,0.69,0.31,0.723,1.903
59.0,0.73,0.27,0.641,1.821
59.0,0.75,0.25,0.666,1.846
59.0,0.79,0.21,0.56,1.74
59.0,0.81,0.19,0.437,1.617
59.0,0.83,0.17,0.454,1.634
59.0,0.85,0.15,0.467,1.647
59.0,0.87,0.13,0.327,1.507
59.0,0.93,0.07,0.192,1.372
59.0,0.95,0.05,0.189,1.369
59.0,0.97,0.03,0.189,1.369
59.0,0.99,0.01,0.189,1.369
60.0,0.65,0.35,0.769,1.949
60.0,0.67,0.33,0.682,1.862
60.0,0.69,0.31,0.713,1.893
60.0,0.71,0.29,0.593,1.773
60.0,0.73,0.27,0.622,1.802
60.0,0.75,0.25,0.651,1.831
60.0,0.77,0.23,0.525,1.705
60.0,0.79,0.21,0.538,1.718
60.0,0.81,0.19,0.401,1.581
60.0,0.83,0.17,0.424,1.604
60.0,0.85,0.15,0.448,1.628
60.0,0.87,0.13,0.29,1.47
60.0,0.93,0.07,0.151,1.331
60.0,0.97,0.03,0.16,1.34
